Model,Target,RMSE,MAE,R²,SMAPE (%)
AdaBoost Regression (Baseline),GHI_mean_J (J/m²/day),0.00 J/m²/day,0.00 J/m²/day,1.0,0.0
FI-AdaBoost Regression (Proposed),solar_energy_potential_J (J/yr),"9,950,521,485.34 J/yr","4,983,323,464.92 J/yr",0.9999,157.97
