lat,lon,rooftop_area_sq_m,SEI_norm,GHI_mean_2024,predicted_GHI_kWh,annual_H_kWh_m2,fi_solar_kWh_yr,fi_solar_kWh_mo
7.248773334197735,125.27903570570392,64.82318636987311,0.0015914358677041,4.962704098360656,4.962704098360455,1811.3869959015663,17584.800753056184,1465.400062754682
7.558221686545727,125.3954277223372,20.732339584756552,0.0005542725902093,4.962704098360656,4.962704098360455,1811.3869959015663,5624.130518090068,468.67754317417234
7.490662726623403,125.52639135686697,18.2080827251926,0.0005248507294505,4.962704098360656,4.962704098360455,1811.3869959015663,4939.366988082583,411.61391567354855
7.103820406023459,125.43025461395166,231.49655767384024,0.005827397698566,4.962704098360656,4.962704098360455,1811.3869959015663,62798.838959955756,5233.236579996313
6.997664387634351,125.48357229485627,81.0426490697757,0.001891076779095,5.225479234972678,5.225479234972668,1907.299920765024,23148.79828924978,1929.0665241041481
7.186504202839463,125.58117279955552,45.97937386237256,0.0012220594287602,4.962704098360656,4.962704098360455,1811.3869959015663,12472.977238525145,1039.4147698770955
7.082643948792924,125.59090669331697,137.70698187241902,0.0027440110688323,4.962704098360656,4.962704098360455,1811.3869959015663,37356.229678592834,3113.019139882736
6.9846639385362606,125.44143261351788,568.0650298302251,0.0147700628899518,5.225479234972678,5.225479234972668,1907.299920765024,162260.52506495308,13521.710422079423
7.399907576157733,125.29158971069036,19.40156929482592,0.0005714424735054,4.962704098360656,4.962704098360455,1811.3869959015663,5263.128048032643,438.5940040027203
7.196854508822866,125.37385872374392,128.8178413184261,0.0035781922740459,4.962704098360656,4.962704098360455,1811.3869959015663,34944.84303962124,2912.07025330177
7.079287320160814,125.44279219402182,243.1031395084488,0.0085733455261915,4.962704098360656,4.962704098360455,1811.3869959015663,65947.39490753085,5495.616242294237
7.265220151509025,125.27990276577052,157.71360538116994,0.0037727551559656,4.962704098360656,4.962704098360455,1811.3869959015663,42783.49278990297,3565.2910658252476
7.391310354866042,125.32641836838724,25.10397171702057,0.000685698879221,4.962704098360656,4.962704098360455,1811.3869959015663,6810.037665154481,567.5031387628734
7.497104383111493,125.42725120945578,27.73022506820381,0.0006974767419797,4.962704098360656,4.962704098360455,1811.3869959015663,7522.470121715528,626.8725101429607
7.159118166085504,125.55344092355652,98.88319190139482,0.0022972538102212,4.962704098360656,4.962704098360455,1811.3869959015663,26824.371413812227,2235.364284484352
7.143503109561855,125.40342766053098,270.3012123312066,0.004862078886851,4.962704098360656,4.962704098360455,1811.3869959015663,73325.50632473802,6110.458860394835
7.046990719238615,125.5449185816956,323.59515983205256,0.0182915425736727,4.962704098360656,4.962704098360455,1811.3869959015663,87782.73221300078,7315.227684416732
7.325655051654223,125.43768920734604,102.07602590108053,0.0026338615796259,4.962704098360656,4.962704098360455,1811.3869959015663,27690.50208196078,2307.5418401633983
7.262226399300142,125.53815976464182,64.7564801867535,0.0012274402040916,4.962704098360656,4.962704098360455,1811.3869959015663,17566.705145529857,1463.8920954608213
7.453140947295389,125.48868069323504,6.897035316424533,0.0001864410196144,4.962704098360656,4.962704098360455,1811.3869959015663,1870.9816443469997,155.91513702891663
