lat,lon,rooftop_area_sq_m,SEI_norm,GHI_mean_2024,predicted_GHI_kWh,annual_H_kWh_m2,ada_solar_kWh_yr,ada_solar_kWh_mo
7.248773334197735,125.27903570570392,64.82318636987311,0.0015914358677041,4.962704098360656,4.9627040983604545,1811.3869959015658,17584.80075305618,1465.4000627546818
7.558221686545727,125.3954277223372,20.732339584756552,0.0005542725902093,4.962704098360656,4.9627040983604545,1811.3869959015658,5624.130518090067,468.6775431741723
7.490662726623403,125.52639135686697,18.2080827251926,0.0005248507294505,4.962704098360656,4.9627040983604545,1811.3869959015658,4939.366988082582,411.6139156735485
7.103820406023459,125.43025461395166,231.49655767384024,0.005827397698566,4.962704098360656,4.9627040983604545,1811.3869959015658,62798.838959955734,5233.236579996311
6.997664387634351,125.48357229485627,81.0426490697757,0.001891076779095,5.225479234972678,5.225479234972666,1907.2999207650232,23148.79828924977,1929.0665241041477
7.186504202839463,125.58117279955552,45.97937386237256,0.0012220594287602,4.962704098360656,4.9627040983604545,1811.3869959015658,12472.977238525144,1039.4147698770953
7.082643948792924,125.59090669331697,137.70698187241902,0.0027440110688323,4.962704098360656,4.9627040983604545,1811.3869959015658,37356.22967859282,3113.019139882735
6.9846639385362606,125.44143261351788,568.0650298302251,0.0147700628899518,5.225479234972678,5.225479234972666,1907.2999207650232,162260.52506495305,13521.71042207942
7.399907576157733,125.29158971069036,19.40156929482592,0.0005714424735054,4.962704098360656,4.9627040983604545,1811.3869959015658,5263.128048032642,438.59400400272017
7.196854508822866,125.37385872374392,128.8178413184261,0.0035781922740459,4.962704098360656,4.9627040983604545,1811.3869959015658,34944.843039621235,2912.0702533017698
7.079287320160814,125.44279219402182,243.1031395084488,0.0085733455261915,4.962704098360656,4.9627040983604545,1811.3869959015658,65947.39490753083,5495.616242294236
7.265220151509025,125.27990276577052,157.71360538116994,0.0037727551559656,4.962704098360656,4.9627040983604545,1811.3869959015658,42783.492789902964,3565.291065825247
7.391310354866042,125.32641836838724,25.10397171702057,0.000685698879221,4.962704098360656,4.9627040983604545,1811.3869959015658,6810.037665154478,567.5031387628732
